LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP6,P6,GeoProbe,159.1698,6.64,2.25,43.31,0.14,0.32,0.05,65.15,178.14,,,,,0.14,0.08,62.28,0.03,3.5,7.56,0.08,44.51,0.02,0.52,,,
LOOP6,P6,GeoProbe,159.1698,7.175,,,,,,,,,,,,0.72,0.22,58.05,0.69,7.59,7.35,0.11,60.65,0.04,0.43,,,
LOOP6,P6,GeoProbe,159.1698,7.18,,,,,,,,,,,,0.72,0.22,58.05,0.69,7.59,7.35,0.11,60.65,0.04,0.43,,,
LOOP6,P6,GeoProbe,159.1698,7.27,,,,,,,,,,,,,,,,,,,,,,516.7,648.9,0.8
LOOP6,P6,GeoProbe,159.1698,8.495,1.51,19.96,0.07,0.46,0.12,52.19,566.46,46.44,20.35,-7.57,-49.94,0.13,0.12,45,0.54,7.47,7.7,0.07,24.56,0.02,0.48,,,
LOOP6,P6,GeoProbe,159.1698,8.5,1.51,19.96,0.07,0.46,0.12,52.19,566.46,46.44,20.35,-7.57,-49.94,0.13,0.12,45,0.54,7.47,7.7,0.07,24.56,0.02,0.48,,,
LOOP6,P7,GeoProbe,159.1699,2.305,0.45,45.7,0.1,158.19,0.02,17.77,879,40.88,2.22,,,0.44,0.16,41.13,0.13,17.52,6.96,10.6,28.11,0.38,0.14,,,
LOOP6,P7,GeoProbe,159.1699,2.31,0.45,45.7,0.1,158.19,0.02,17.77,879,40.88,2.22,,,0.44,0.16,41.13,0.13,17.52,6.96,10.6,28.11,0.38,0.14,,,
LOOP6,P7,GeoProbe,159.1699,2.395,,,,,,,,,,,,,,,,,,,,,,1.6,158.8,0.01
LOOP6,P7,GeoProbe,159.1699,3.305,,25.4,0.09,95.74,0.02,72.53,146.58,51.89,35.47,-7.17,-45.6,0.16,0.06,113.73,0.03,3.66,7.17,0.94,10.64,0.04,0.18,,,
LOOP6,P7,GeoProbe,159.1699,3.31,,25.4,0.09,95.74,0.02,72.53,146.58,51.89,35.47,-7.17,-45.6,0.16,0.06,113.73,0.03,3.66,7.17,0.94,10.64,0.04,0.18,,,
LOOP6,P7,GeoProbe,159.1699,4.835,0.13,24.79,0.17,94.82,0.02,24.93,300.66,27.31,4.73,-7.28,-46.08,0.15,0.08,42.51,0.03,4.39,3.16,1.91,19.2,0.07,0.2,,,
LOOP6,P7,GeoProbe,159.1699,4.84,0.13,24.79,0.17,94.82,0.02,24.93,300.66,27.31,4.73,-7.28,-46.08,0.15,0.08,42.51,0.03,4.39,3.16,1.91,19.2,0.07,0.2,,,
LOOP6,P7,GeoProbe,159.1699,5.96,,,,,,,,,,,,,,,,,,,,,,1.4,213.1,0.01
LOOP6,P7,GeoProbe,159.1699,6.055,0.33,23.18,0.14,98.97,0.02,20.38,36.44,58.1,34.53,-7.27,-47.06,0.1,0.03,88.65,0.03,2.44,6.51,0.03,18.69,0.01,0.43,,,
LOOP6,P7,GeoProbe,159.1699,6.06,0.33,23.18,0.14,98.97,0.02,20.38,36.44,58.1,34.53,-7.27,-47.06,0.1,0.03,88.65,0.03,2.44,6.51,0.03,18.69,0.01,0.43,,,
LOOP6,P7,GeoProbe,159.1699,7.125,0.48,27.36,0.18,15.26,0.02,32.74,813.55,48.61,33.83,-7.19,-46.62,0.15,0.05,58.74,0.03,3.65,5.34,1.12,25.71,0.01,0.3,,,
LOOP6,P7,GeoProbe,159.1699,7.13,0.48,27.36,0.18,15.26,0.02,32.74,813.55,48.61,33.83,-7.19,-46.62,0.15,0.05,58.74,0.03,3.65,5.34,1.12,25.71,0.01,0.3,,,
LOOP6,P7,GeoProbe,159.1699,8.465,0.23,21.11,0.08,58.17,0.02,17.51,41.56,47.95,37.6,-7.19,-46.91,0.11,0.03,77.56,0.03,2.5,6.58,0.02,18.24,0.01,0.43,,,
LOOP6,P7,GeoProbe,159.1699,8.47,0.23,21.11,0.08,58.17,0.02,17.51,41.56,47.95,37.6,-7.19,-46.91,0.11,0.03,77.56,0.03,2.5,6.58,0.02,18.24,0.01,0.43,,,
LOOP6,P7,GeoProbe,159.1699,8.525,,,,,,,,,,,,,,,,,,,,,,2.7,110.9,0.02
LOOP6,P8,GeoProbe,159.17,1.88,,,,,,,,,,,,,,,,,,,,,,3.5,61.7,0.06
LOOP6,P8,GeoProbe,159.17,1.975,0.08,15.88,0.06,5.91,0.02,33.4,36.96,28.02,4.02,-6.79,-44.48,0.53,0.06,17.77,0.03,5.57,1.88,0.06,15.83,0.03,0.06,,,
LOOP6,P8,GeoProbe,159.17,1.98,0.08,15.88,0.06,5.91,0.02,33.4,36.96,28.02,4.02,-6.79,-44.48,0.53,0.06,17.77,0.03,5.57,1.88,0.06,15.83,0.03,0.06,,,
LOOP6,P8,GeoProbe,159.17,2.395,0.24,9.79,0.02,0.02,0.02,146.87,189.05,31.85,2.58,-6.67,-43.53,0.46,0.06,43.2,3.85,10.43,4.03,0.17,17.63,0.43,0.14,,,
LOOP6,P8,GeoProbe,159.17,2.4,0.24,9.79,0.02,0.02,0.02,146.87,189.05,31.85,2.58,-6.67,-43.53,0.46,0.06,43.2,3.85,10.43,4.03,0.17,17.63,0.43,0.14,,,
LOOP6,P8,GeoProbe,159.17,3.515,0.06,12.4,0.1,0.09,0.02,74.49,,53.87,35.39,,,0.41,0.07,24.72,1.13,10.49,2.47,0.18,19.98,0.18,0.09,,,
LOOP6,P8,GeoProbe,159.17,3.52,0.06,12.4,0.1,0.09,0.02,74.49,,53.87,35.39,,,0.41,0.07,24.72,1.13,10.49,2.47,0.18,19.98,0.18,0.09,,,
LOOP6,P8,GeoProbe,159.17,3.61,,,,,,,,,,,,,,,,,,,,,,83.5,134.4,0.62
LOOP6,P8,GeoProbe,159.17,3.615,0.29,20.44,0.12,48.63,0.02,13.3,130.77,23.98,5.06,-6.84,-44.58,0.2,0.2,20.96,0.03,2.6,9.14,0.19,31.96,0.01,0.25,,,
LOOP6,P8,GeoProbe,159.17,3.62,0.29,20.44,0.12,48.63,0.02,13.3,130.77,23.98,5.06,-6.84,-44.58,0.2,0.2,20.96,0.03,2.6,9.14,0.19,31.96,0.01,0.25,,,
LOOP6,P8,GeoProbe,159.17,4.735,0.31,26.61,0.09,0.02,0.02,86.18,816.5,56.32,35.82,-6.62,-45.49,0.3,0.09,81.83,4.73,2.69,7.29,7.24,24.84,0.01,0.21,,,
LOOP6,P8,GeoProbe,159.17,4.74,0.31,26.61,0.09,0.02,0.02,86.18,816.5,56.32,35.82,-6.62,-45.49,0.3,0.09,81.83,4.73,2.69,7.29,7.24,24.84,0.01,0.21,,,
LOOP6,P8,GeoProbe,159.17,4.83,,,,,,,,,,,,,,,,,,,,,,531.8,595.1,0.89
LOOP6,P8,GeoProbe,159.17,5.955,0.42,22.91,0.08,0.02,0.02,93.37,740.83,47.01,31.58,,,0.78,0.08,82.24,1.79,2.69,6.02,3.67,27.05,0.01,0.22,,,
LOOP6,P8,GeoProbe,159.17,5.96,0.42,22.91,0.08,0.02,0.02,93.37,740.83,47.01,31.58,,,0.78,0.08,82.24,1.79,2.69,6.02,3.67,27.05,0.01,0.22,,,
LOOP6,P8,GeoProbe,159.17,6.05,,,,,,,,,,,,,,,,,,,,,,891.4,901.2,0.99
LOOP6,P8,GeoProbe,159.17,7.175,0.16,21.87,0.07,0.02,0.02,88.34,56.18,46.86,,,,0.68,0.06,83.92,0.26,1.79,4.96,0.8,27.38,0.01,0.21,,,
LOOP6,P8,GeoProbe,159.17,7.18,0.16,21.87,0.07,0.02,0.02,88.34,56.18,46.86,,,,0.68,0.06,83.92,0.26,1.79,4.96,0.8,27.38,0.01,0.21,,,
LOOP6,P8,GeoProbe,159.17,7.27,,,,,,,,,,,,,,,,,,,,,,114.3,254.1,0.45
